BBOL.r,BBOL.r,ID#,Player Name,Bat Pow,Bat Con,Run,Speed,Arm Str,Arm Acc,Eye,Height,Coord,Attn,Aggr,Stamina,Int,Heat,S.Ball,L.Hook,R.Hook,C.Screw,Zig-Zag,B.Freeze,Fireball,Spitball,C.Ball,Slo-mo,Elevator,Bats,Throws,Gender,B-Day Month,B-Day Day,Nickname,,Offense,Speed,Defense,Pitching,Pitching (Cal),Best Position,OF,3B,SS/2B,1B,C,,Heat,,,,,H,S.Ball,,,,,S,L.Hook,,,,,L,R.Hook,,,,,R,Description of the Player,Pitching Type,B,R,P,F
118,TAKEN,250,Libby Futterman,87,69,20,4,56,66,81,3,70,82,74,54,98,29,0,84,12,0,81,0,58,70,0,0,71,Right,Right,Girl,,,,,56,32,43,36,36,1B,25,31,26,71,50,,-5,3,2,208,25,20.4,24,2,0,279,0.0,0.0,-60,2,30,34,87.8,70.3,12,2,0,279,0.0,0.0,"Good power but lacks speed, not really good anywhere other than 1B",,9,3,3,8
120,TAKEN,189,Uma Morris,88,10,40,5,70,63,12,2,60,47,52,72,31,92,16,21,73,80,0,0,0,0,28,87,35,Right,Right,Girl,,,,,54,46,47,58,58,3B / P,32,46,48,32,62,,-68,3,23,34,88,70.3,8,2,0,279,0.0,0.0,3,2,0,279,0.0,0.0,-49,2,25,85,69.5,55.6,"Strong hitter on paper but has a hard time performing, decent fielder, good relief pitcher",,7,5,7,5
121,TAKEN,105,Tanya Uchida,68,100,68,6,48,77,68,2,50,75,65,49,10,25,0,57,68,0,47,67,86,86,35,0,0,Right,Right,Girl,,,,,78,60,51,45,45,OF,60,45,46,52,50,,-1,3,1,217,22,17.8,24,2,0,279,0.0,0.0,-33,2,17,128,54.1,43.3,-44,2,22,103,63.1,50.5,"VERY good contact hitter, so-so in defense but great if you can afford them",,10,7,4,6
121,TAKEN,155,Timmy Unger,68,100,68,6,48,77,68,2,50,75,65,49,10,25,0,57,68,0,47,67,86,35,35,0,0,Right,Right,Boy,,,,,78,60,51,45,45,OF,60,45,46,52,50,,-1,3,1,217,22,17.8,24,2,0,279,0.0,0.0,-33,2,17,128,54.1,43.3,-44,2,22,103,63.1,50.5,"VERY good contact hitter, so-so in defense but great if you can afford them",,10,7,4,6
123,TAKEN,98,Ramona Bennett,69,72,76,6,26,37,27,2,20,56,16,89,38,60,0,72,80,28,68,75,45,45,25,0,74,Right,Right,Girl,,,,,56,60,34,75,75,P,46,24,24,40,36,,-36,2,18,67,76,76.0,24,2,0,279,0.0,0.0,-48,2,24,83,70.3,56.2,-56,2,28,59,78.9,63.1,"Good line drive hitter with good pitching, lacks in defensive qualities",,7,8,8,1
123,TAKEN,148,Ray Tran,69,72,76,6,26,37,27,2,20,56,16,89,38,60,0,72,80,28,68,75,45,25,25,0,74,Right,Right,Boy,,,,,56,60,34,75,75,P,46,24,24,40,36,,-36,2,18,67,76,76.0,24,2,0,279,0.0,0.0,-48,2,24,83,70.3,56.2,-56,2,28,59,78.9,63.1,"Good line drive hitter with good pitching, lacks in defensive qualities",,7,8,8,1
125,TAKEN,94,Nancy Chin,75,1,65,6,34,68,25,2,80,90,78,84,100,47,79,0,100,0,0,45,32,32,90,50,0,Left,Left,Girl,,,,,29,60,45,78,78,P,51,36,37,56,42,,-23,2,12,126,55,54.8,-55,2,28,44,84.2,67.4,24,2,0,279,0.0,0.0,-76,2,38,16,94.3,75.4,"Top tier pitcher who can defend at their position, totally lacks in offensive skills",,5,7,8,6
125,TAKEN,144,Omar Stephano,75,1,65,6,34,68,25,2,80,90,78,84,100,47,79,0,100,0,0,45,32,90,90,50,0,Left,Left,Boy,,,,,29,60,45,78,78,P,51,36,37,56,42,,-23,2,12,126,55,54.8,-55,2,28,44,84.2,67.4,24,2,0,279,0.0,0.0,-76,2,38,16,94.3,75.4,"Top tier pitcher who can defend at their position, totally lacks in offensive skills",,5,7,8,6
127,TAKEN,89,Liz Kinghorn,50,39,88,7,64,100,50,2,60,42,55,51,64,56,41,86,0,0,0,75,0,0,0,0,48,Right,Right,Girl,,,,,63,75,72,58,58,OF,83,66,67,60,66,,-32,3,11,138,51,40.4,-17,2,9,152,45.5,36.4,-62,2,31,32,88.5,70.8,24,2,0,279,0.0,0.0,"Decent hitter who can keep the ball low, fast outfielder but can sort of play IF too",,4,9,5,7
127,TAKEN,139,Jordan Thorner,50,39,88,7,64,100,50,2,60,42,55,51,64,56,41,86,0,0,0,75,0,0,0,0,48,Right,Right,Boy,,,,,63,75,72,58,58,OF,83,66,67,60,66,,-32,3,11,138,51,40.4,-17,2,9,152,45.5,36.4,-62,2,31,32,88.5,70.8,24,2,0,279,0.0,0.0,"Decent hitter who can keep the ball low, fast outfielder but can sort of play IF too",,4,9,5,7
129,TAKEN,28,Dante Robinson,50,39,88,7,64,100,50,2,60,42,85,51,64,56,41,86,0,0,0,75,0,0,0,0,48,Left,Left,Boy,Mar,3,Stretch,,61,75,72,58,58,OF,83,66,67,60,66,,-32,3,11,138,51,40.4,-17,2,9,152,45.5,36.4,-62,2,31,32,88.5,70.8,24,2,0,279,0.0,0.0,"Decent hitter who can keep the ball low, fast outfielder but can sort of play IF too",,4,9,5,7
130,TAKEN,192,Adam Van Doren,48,77,94,7,48,60,4,2,50,95,56,38,83,68,25,45,10,0,0,100,63,28,28,32,0,Left,Left,Boy,,,,,70,75,61,38,38,OF / 2B,62,55,54,67,51,,-44,3,15,100,64,51.3,-1,2,1,215,22.9,18.4,-21,2,11,165,40.9,32.7,14,2,0,279,0.0,0.0,"Surprisingly competent hitter and so-so defender, poor eye makes him hard to master",,7,10,3,3
131,TAKEN,202,Donald Vogel,35,53,60,6,90,85,93,2,30,65,94,81,40,75,0,45,38,0,0,57,67,28,32,32,62,Right,Right,Boy,,,,,38,60,83,46,58,SS / C,82,80,85,61,83,,-51,3,17,78,72,57.6,24,2,0,279,0.0,0.0,-21,2,11,165,40.9,32.7,-14,2,7,166,40.5,32.4,"Very good fielder at every position, lackluster hitter but can surprise sometimes",,4,7,5,6
132,TAKEN,185,Ruth Proutt,21,100,88,7,60,65,69,2,30,32,57,50,25,83,0,26,57,27,25,0,33,50,23,0,25,Left,Left,Girl,,,,,51,75,66,48,48,OF,85,57,56,54,59,,-59,3,20,53,81,64.8,24,2,0,279,0.0,0.0,-2,2,1,221,20.8,16.6,-33,2,17,113,59.5,47.6,Great outfielder who is reliable at finding a good soft hit to get on base with,,8,9,4,4
133,TAKEN,101,Sheila Basanti,61,43,83,7,44,27,57,2,50,23,45,49,94,74,22,0,50,36,0,0,0,0,38,69,71,Left,Left,Girl,,,,,55,75,55,37,37,OF,73,44,40,48,46,,-50,3,17,78,72,57.6,2,2,0,279,0.0,0.0,24,2,0,279,0.0,0.0,-26,2,13,127,54.5,43.6,"Decent offense, basically only good at playing the outfield",,5,9,3,4
133,TAKEN,151,Shane Smith,61,43,83,7,44,27,57,2,50,23,45,49,94,74,22,0,50,36,0,0,0,38,38,69,71,Left,Left,Boy,,,,,55,75,55,37,37,OF,73,44,40,48,46,,-50,3,17,78,72,57.6,2,2,0,279,0.0,0.0,24,2,0,279,0.0,0.0,-26,2,13,127,54.5,43.6,"Decent offense, basically only good at playing the outfield",,5,9,3,4
135,TAKEN,4,Vicki Kawaguchi,25,25,84,7,52,59,100,2,100,27,54,79,39,22,80,45,0,0,50,79,0,0,0,54,0,Right,Right,Girl,Nov,5,Swan,,34,75,66,42,42,OF,92,52,51,55,54,,2,3,0,279,0,0.0,-56,2,28,44,84.2,67.4,-21,2,11,165,40.9,32.7,24,2,0,279,0.0,0.0,"Top tier outfielder, not good at hitting but can still sometimes get on with speed",,1,9,5,10
136,TAKEN,14,Jocinda Smith,54,100,44,5,62,94,82,4,70,66,65,38,78,35,50,48,26,62,0,0,0,0,0,0,85,Right,Right,Girl,Sep,28,MVP,,40,46,63,43,43,1B,49,59,49,95,49,,-11,3,4,182,35,27.8,-26,2,13,123,55.9,44.7,-24,2,12,155,44.4,35.6,-2,2,1,208,25.4,20.4,"Top tier 1B, good contact hitter but lacks the speed to get on sometimes",,10,5,3,9
137,TAKEN,54,Tony Gwynn,65,84,57,5,58,85,82,3,70,93,46,21,98,6,80,43,47,62,0,0,0,0,0,0,85,Left,Left,Boy,May,9,Pal,,49,46,54,57,57,1B,45,50,45,75,56,,18,3,0,279,0,0.0,-56,2,28,44,84.2,67.4,-19,2,10,176,36.9,29.5,-23,2,12,141,49.5,39.6,"Good 1B who can sort of play other positions, good hitter but not very fast",,9,6,3,8
137,TAKEN,255,Raquel Cullen,65,84,57,5,58,85,82,3,70,93,46,21,98,6,80,43,47,62,0,0,0,0,0,0,85,Left,Left,Girl,,,,,49,46,54,57,57,1B,45,50,45,75,56,,18,3,0,279,0,0.0,-56,2,28,44,84.2,67.4,-19,2,10,176,36.9,29.5,-23,2,12,141,49.5,39.6,"Good 1B who can sort of play other positions, good hitter but not very fast",,9,6,3,8
139,TAKEN,7,Billy Jean Blackwood,29,95,55,5,64,82,71,5,30,85,61,45,28,10,34,47,86,0,89,0,31,0,41,0,0,Right,Right,Girl,Jan,26,Crazy Legs,,18,46,73,54,54,1B,53,65,54,99,50,,14,3,0,279,0,0.0,-10,2,5,186,33.3,26.7,-23,2,12,155,44.4,35.6,-62,2,31,44,84.2,67.4,"Best 1B in the game, basically worth it for that alone, value goes up a lot with Marky",,8,6,4,5
140,TAKEN,227,Trent Sizemore,16,73,71,6,94,40,68,2,100,80,49,73,56,12,80,28,50,15,0,0,0,78,78,65,59,Right,Right,Boy,,,,,25,60,91,54,54,any,78,89,94,68,89,,12,3,0,279,0,0.0,-56,2,28,44,84.2,67.4,-4,2,2,212,24.0,19.2,-26,2,13,127,54.5,43.6,"Top tier defender but very much lacks offensive stats, can play anywhere",,5,8,5,10
141,TAKEN,217,Scotty Roth,16,73,71,6,96,40,84,2,30,80,82,7,52,62,50,0,45,15,0,0,0,78,78,65,59,Right,Right,Boy,,,,,25,60,90,42,50,any,82,88,93,65,89,,-38,4,10,144,48,24.2,-26,2,13,123,55.9,44.7,24,2,0,279,0.0,0.0,-21,2,11,151,45.9,36.7,"Top tier defender but very much lacks offensive stats, can play anywhere, poor stamina",,5,8,2,5
142,TAKEN,12,Luanne Lui,18,77,96,8,24,1,29,1,70,17,27,55,82,83,71,81,60,25,0,18,96,0,0,0,0,Right,Right,Girl,Jan,27,Lulu,,70,88,25,76,76,P,56,3,15,12,34,,-59,3,20,53,81,64.8,-47,2,24,62,77.8,62.2,-57,2,29,43,84.6,67.7,-36,2,18,111,60.2,48.2,"Extremely fast, great pitcher, very poor defender due to being so short",,6,10,9,4
143,TAKEN,82,Karen Donato,78,57,61,6,52,28,43,2,40,35,41,12,100,50,85,0,26,32,62,0,46,66,0,0,90,Right,Right,Girl,,,,,62,60,47,46,51,OF,57,42,42,45,50,,-26,4,7,163,42,20.8,-61,2,31,27,90.3,72.3,24,2,0,279,0.0,0.0,-2,2,1,208,25.4,20.4,"Good line drive hitter, doesn't excel anywhere defensively, awful stamina",,8,7,2,3
143,TAKEN,132,Horace Young,78,57,61,6,52,28,43,2,40,35,41,12,100,50,85,0,26,32,32,62,0,46,66,0,90,Right,Right,Boy,,,,,62,60,47,46,51,OF,57,42,42,45,50,,-26,4,7,163,42,20.8,-61,2,31,27,90.3,72.3,24,2,0,279,0.0,0.0,-2,2,1,208,25.4,20.4,"Good line drive hitter, doesn't excel anywhere defensively, awful stamina",,8,7,2,3
145,TAKEN,201,Derek McCattery,62,66,79,6,40,36,17,2,50,47,93,73,18,85,58,68,45,67,0,0,28,31,0,0,73,Left,Left,Boy,,,,,55,60,40,64,64,P / OF,50,31,32,45,42,,-61,3,21,51,82,65.4,-34,2,17,103,63.1,50.5,-44,2,22,102,63.4,50.8,-21,2,11,151,45.9,36.7,"Decent hitter, solid relief pitcher, poor eyesight",,7,8,9,3
145.1,TAKEN,18,Amir Khan,73,64,56,5,26,36,100,2,50,88,30,25,87,88,69,90,90,100,0,0,0,43,64,86,66,Right,Right,Boy,Sep,1,Sticks,,57,46,27,86,86,P,35,16,16,32,34,,-64,3,22,40,86,68.5,-45,2,23,64,77.1,61.6,-66,2,33,27,90.3,72.3,-66,2,33,23,91.8,73.4,"Good line drive hitter, top tier pitcher, lacks defensively, always picked with Achmed",,7,6,9,5
146,TAKEN,63,Arlene Perez,67,45,60,6,42,3,80,2,90,24,21,24,16,6,80,43,47,0,67,0,0,28,31,31,86,Right,Right,Girl,,,,,55,60,42,57,57,OF,62,33,33,39,43,,18,3,0,279,0,0.0,-56,2,28,44,84.2,67.4,-19,2,10,176,36.9,29.5,-23,2,12,141,49.5,39.6,Decent on-base hitter who only really specializes in catching the ball,,6,7,3,7
146,TAKEN,113,Artie Pimbleton,67,45,60,6,42,3,80,2,90,24,21,24,16,6,80,43,47,0,0,67,0,0,28,31,86,Right,Right,Boy,,,,,55,60,42,57,57,OF,62,33,33,39,43,,18,3,0,279,0,0.0,-56,2,28,44,84.2,67.4,-19,2,10,176,36.9,29.5,-23,2,12,141,49.5,39.6,Decent on-base hitter who only really specializes in catching the ball,,6,7,3,7
146.1,TAKEN,2,Maria (not pink),67,45,60,6,42,3,80,2,90,24,21,24,16,6,80,43,47,0,67,0,0,0,28,31,86,Left,Left,Girl,Jul,23,Pinky,,55,60,42,57,57,OF,62,33,33,39,43,,18,3,0,279,0,0.0,-56,2,28,44,84.2,67.4,-19,2,10,176,36.9,29.5,-23,2,12,141,49.5,39.6,Decent on-base hitter who only really specializes in catching the ball,,6,7,3,7
148,TAKEN,11,Stephanie Morgan,40,72,68,6,56,68,88,3,70,1,93,32,96,70,44,22,78,88,76,0,0,0,39,0,0,Right,Right,Girl,Aug,15,Bubbles,,39,60,61,59,59,1B / OF,72,54,47,72,54,,-46,3,16,91,67,53.9,-20,2,10,145,48.0,38.4,2,2,0,279,0.0,0.0,-54,2,27,67,76.0,60.8,"Decent defender, awful attention so must remain active, good relief pitcher",,6,7,5,8
148.1,TAKEN,8,Ashley Webber,34,62,62,6,64,48,95,3,20,50,56,94,58,66,21,78,0,0,81,0,58,70,0,0,71,Right,Right,Girl,Feb,18,Little Smokey,,38,60,70,54,60,1B / OF,79,69,63,77,63,,-42,2,21,51,82,81.7,3,2,0,279,0.0,0.0,-54,2,27,51,81.7,65.4,24,2,0,279,0.0,0.0,Not really relevant since the two Webbers are always paired together,,5,7,6,4
148.2,TAKEN,9,Sidney Webber,34,62,62,6,64,48,95,3,20,50,56,94,58,66,21,78,0,0,81,0,58,70,0,0,71,Right,Right,Girl,Feb,18,Little Smokey,,38,60,70,54,60,1B / OF,79,69,63,77,63,,-42,2,21,51,82,81.7,3,2,0,279,0.0,0.0,-54,2,27,51,81.7,65.4,24,2,0,279,0.0,0.0,Not really relevant since the two Webbers are always paired together,,5,7,6,4
149,TAKEN,13,Annie Frazier,38,96,74,6,48,19,49,3,90,100,1,1,36,41,14,51,19,78,86,81,0,0,91,70,100,Left,Left,Girl,Sep,18,Flipper,,46,60,58,23,23,1B,62,60,53,82,49,,-17,4,5,177,37,18.3,10,2,0,279,0.0,0.0,-27,2,14,136,51.3,41.0,5,2,0,279,0.0,0.0,"Okay hitter who can really only play 1B, max attention is nice but lacks aggression",,9,8,1,7
149.1,TAKEN,7.1,BIlly Jean (w/ Marky),29,45,43,5,34,42,31,5,30,45,41,25,28,10,34,47,86,0,89,0,31,0,41,0,0,Right,Right,Girl,Jan,26,Crazy Legs,,11,46,73,54,54,1B,37,35,21,98,32,,14,3,0,279,0,0.0,-10,2,5,186,33.3,26.7,-23,2,12,155,44.4,35.6,-62,2,31,44,84.2,67.4,"Still one of the best 1Bs in the game, almost always worth it",,3,5,3,2
150,TAKEN,107,Tina Herrara,22,43,70,6,86,100,87,2,40,78,15,42,59,75,88,25,0,52,38,23,49,49,78,0,0,Right,Right,Girl,,,,,26,60,81,57,57,SS / C,78,79,84,64,82,,-51,3,17,78,72,57.6,-64,2,32,19,93.2,74.6,-1,2,1,221,20.8,16.6,24,2,0,279,0.0,0.0,"Very good fielder, decent relief pitcher, not a good hitter but has okay speed",,3,8,5,7
150,TAKEN,157,Vic Soufle,22,43,70,6,86,100,87,2,40,78,15,42,59,75,88,25,0,52,38,23,49,78,78,0,0,Right,Right,Boy,,,,,26,60,81,57,57,SS / C,78,79,84,64,82,,-51,3,17,78,72,57.6,-64,2,32,19,93.2,74.6,-1,2,1,221,20.8,16.6,24,2,0,279,0.0,0.0,"Very good fielder, decent relief pitcher, not a good hitter but has okay speed",,3,8,5,7
152,TAKEN,99,Randi Uno,80,29,55,5,78,67,33,2,40,78,29,83,24,0,12,42,73,0,87,65,0,0,0,24,51,Right,Right,Girl,,,,,46,46,57,35,35,3B / SS,35,58,59,40,71,,24,3,0,279,0,0.0,12,2,0,279,0.0,0.0,-18,2,9,180,35.5,28.4,-49,2,25,85,69.5,55.6,"Good power but poor contact, decent infielders, not good for homers",,7,6,4,4
152,TAKEN,149,Robby Bocko,80,29,55,5,78,67,33,2,40,78,29,83,24,0,12,42,73,0,87,65,0,0,0,24,51,Right,Right,Boy,,,,,46,46,57,35,35,3B / SS,35,58,59,40,71,,24,3,0,279,0,0.0,12,2,0,279,0.0,0.0,-18,2,9,180,35.5,28.4,-49,2,25,85,69.5,55.6,"Good power but poor contact, decent infielders, not good for homers",,7,6,4,4
154,TAKEN,16,Ronny Dobbs,86,24,52,5,88,68,31,1,30,25,41,52,82,92,26,74,38,79,0,65,0,70,73,0,0,Right,Right,Boy,Aug,10,Spud,,67,46,34,61,61,C,30,20,53,4,81,,-68,3,23,34,88,70.3,-2,2,1,215,22.9,18.4,-50,2,25,77,72.4,57.9,-14,2,7,166,40.5,32.4,"Solid hitter, low contact is tough, good relief pitcher, poor defender due to being short",,7,6,7,4
155,TAKEN,79,Joella Minotti,89,64,46,5,26,36,20,2,50,88,50,25,87,28,19,0,90,100,0,0,0,64,86,86,66,Right,Right,Girl,,,,,77,46,21,37,37,2B,23,15,15,32,33,,-4,3,2,208,25,20.4,5,2,0,279,0.0,0.0,24,2,0,279,0.0,0.0,-66,2,33,23,91.8,73.4,"Good but not top tier power, poor defender, only good if you REALLY need power",,9,5,2,3
155,TAKEN,129,Gary Allen,89,64,46,5,26,36,20,2,50,88,50,25,87,28,19,0,90,100,100,0,0,0,64,86,66,Right,Right,Boy,,,,,77,46,21,37,37,2B,23,15,15,32,33,,-4,3,2,208,25,20.4,5,2,0,279,0.0,0.0,24,2,0,279,0.0,0.0,-66,2,33,23,91.8,73.4,"Good but not top tier power, poor defender, only good if you REALLY need power",,9,5,2,3
157,TAKEN,181,Lorelei Ikaye,53,100,60,6,22,53,85,2,40,78,94,9,64,86,65,67,0,62,0,46,66,0,60,68,0,Right,Right,Girl,,,,,55,60,37,56,66,OF,56,23,21,47,33,,-62,4,16,91,67,33.7,-41,2,21,83,70.3,56.2,-43,2,22,102,63.4,50.8,24,2,0,279,0.0,0.0,"Solid line drive hitter, poor defender, decent relief pitcher",,10,7,4,4
158,TAKEN,29,Ernie Steele,62,36,57,5,34,85,71,4,100,18,69,85,63,12,60,58,66,85,80,0,0,0,0,0,0,Right,Right,Boy,Apr,21,Funnybones,,39,46,52,60,60,1B,39,28,18,90,33,,12,2,0,279,0,0.0,-36,2,18,99,64.5,51.6,-34,2,17,128,54.1,43.3,-42,2,21,109,60.9,48.7,"Okay hitter, good 1B, poor attention, decent relief pitcher, awful arm due to his height",,5,6,7,10
159,TAKEN,1,Kimmy Eckman,72,42,34,4,74,75,43,2,20,56,74,31,47,55,35,44,34,58,53,59,0,0,0,86,84,Right,Right,Girl,Jun,22,Twinkie Toes,,35,32,32,38,38,3B,19,37,38,20,64,,-31,3,11,138,51,40.4,-11,2,6,175,37.3,29.8,-20,2,10,176,36.9,29.5,-10,2,5,174,37.6,30.1,"Mediocre hitter, mediocre defense, really needs Eckman Acres to thrive",,6,4,3,3
160,TAKEN,3,Angela Delvecchio,89,40,34,4,14,22,63,2,10,14,100,83,57,29,100,74,72,0,0,0,57,75,67,28,0,Right,Right,Girl,Dec,20,Sugar Pop,,61,32,4,78,78,P,9,2,1,3,20,,-5,3,2,208,25,20.4,-76,2,38,15,94.6,75.7,-50,2,25,77,72.4,57.9,-48,2,24,93,66.7,53.3,"Good hitter and great pitcher but awful defender, not fast either",,8,4,10,1
160.1,TAKEN,3.1,Angela (vs Tony),89,80,84,7,74,82,63,2,60,44,100,93,87,59,66,74,72,0,0,0,57,75,67,28,0,Right,Right,Girl,Dec,20,Sugar Pop,,91,75,74,73,98,OF / P,90,70,73,61,72,,-35,2,18,67,76,76.0,-42,2,21,83,70.3,56.2,-50,2,25,77,72.4,57.9,-48,2,24,93,66.7,53.3,Very good but only functional when playing vs Tony Delvecchio (rare),,10,9,10,7
161,TAKEN,51,Jason Giambi,81,41,37,4,24,45,60,3,100,52,81,62,87,70,29,66,74,32,62,0,46,56,66,0,87,Left,Right,Boy,Jan,8,Slugger,,44,32,29,61,61,1B,14,14,7,60,28,,-46,3,16,91,67,53.9,-5,2,3,197,29.4,23.5,-42,2,21,110,60.6,48.5,-50,2,25,85,69.5,55.6,"Okay power but poor speed, only good at 1B, good relief pitcher",,7,4,7,8
161,TAKEN,252,Melissa Waters,81,41,37,4,24,45,60,3,100,52,81,62,87,70,29,66,74,32,62,0,46,56,66,0,87,Left,Right,Girl,,,,,44,32,29,61,61,1B,14,14,7,60,28,,-46,3,16,91,67,53.9,-5,2,3,197,29.4,23.5,-42,2,21,110,60.6,48.5,-50,2,25,85,69.5,55.6,"Okay power but poor speed, only good at 1B, good relief pitcher",,7,4,7,8
163,TAKEN,91,Mary Reilly,54,81,21,4,100,49,58,2,70,41,80,24,61,38,73,37,47,0,0,100,0,0,49,0,0,Right,Right,Girl,,,,,36,32,76,54,54,C,28,68,72,26,88,,-14,3,5,177,37,29.2,-49,2,25,55,80.3,64.2,-13,2,7,191,31.5,25.2,-23,2,12,141,49.5,39.6,"Good fielder, slow, can sometimes overperform due to good contact hitting",,8,3,4,8
164,TAKEN,141,Murray Goldman,54,81,21,4,100,49,58,2,70,41,50,24,61,38,73,37,47,0,0,100,0,49,49,0,0,Right,Right,Boy,,,,,36,32,76,54,54,C,28,68,72,26,88,,-14,3,5,177,37,29.2,-49,2,25,55,80.3,64.2,-13,2,7,191,31.5,25.2,-23,2,12,141,49.5,39.6,"Good fielder, slow, can sometimes overperform due to good contact hitting",,8,3,4,8
165,TAKEN,188,Tracy Hoban,65,34,38,4,100,72,79,2,80,28,12,92,52,11,50,21,56,0,75,0,0,0,52,38,23,Left,Left,Girl,,,,,27,32,75,38,58,C,31,66,69,24,89,,13,2,0,279,0,0.0,-26,2,13,123,55.9,44.7,3,2,0,279,0.0,0.0,-32,2,16,119,57.3,45.9,"Good fielder, slow, not a good hitter, low attention makes her a tougher catcher choice",,5,4,5,10
166,TAKEN,52,Curt Schilling,15,66,58,5,96,55,75,3,70,52,46,57,95,88,74,70,79,75,64,57,40,100,74,60,100,Right,Right,Boy,Nov,14,Heater,,15,46,80,76,76,P / C,54,81,78,74,86,,-64,3,22,40,86,68.5,-50,2,25,55,80.3,64.2,-46,2,23,87,68.8,55.1,-55,2,28,59,78.9,63.1,"Top tier pitcher, great defender, horrible hitter",,5,6,10,8
166,TAKEN,253,Nan Porter,15,66,58,5,96,55,75,3,70,52,46,57,95,88,74,70,79,75,64,57,40,100,74,60,100,Right,Right,Girl,,,,,15,46,80,76,76,P / C,54,81,78,74,86,,-64,3,22,40,86,68.5,-50,2,25,55,80.3,64.2,-46,2,23,87,68.8,55.1,-55,2,28,59,78.9,63.1,"Top tier pitcher, great defender, horrible hitter",,5,6,10,8
168,TAKEN,67,Colleen Klinker,64,1,47,5,86,84,51,2,70,50,52,42,32,80,71,35,68,97,0,97,0,0,50,50,80,Right,Right,Girl,,,,,21,46,70,68,68,SS / 3B,40,64,67,36,78,,-56,3,19,64,77,61.6,-47,2,24,62,77.8,62.2,-11,2,6,194,30.5,24.4,-44,2,22,103,63.1,50.5,"Solid defensive specialist, terrible at making contact, good relief pitcher",,4,5,7,8
168,TAKEN,117,Chad Koppel,64,1,47,5,86,84,51,2,70,50,52,42,32,80,71,35,68,97,97,0,97,0,0,50,80,Right,Right,Boy,,,,,21,46,70,68,68,SS / 3B,40,64,67,36,78,,-56,3,19,64,77,61.6,-47,2,24,62,77.8,62.2,-11,2,6,194,30.5,24.4,-44,2,22,103,63.1,50.5,"Solid defensive specialist, terrible at making contact, good relief pitcher",,4,5,7,8
170,TAKEN,219,Vincent Sweet,51,46,47,5,84,79,20,2,90,80,65,97,71,62,6,8,56,0,65,48,76,0,0,28,34,Right,Right,Boy,,,,,34,46,70,45,56,SS / 3B,36,65,68,47,77,,-38,2,19,64,77,77.1,18,2,0,279,0.0,0.0,16,2,0,279,0.0,0.0,-32,2,16,119,57.3,45.9,"Good fielder, very mediocre hitter, lacks eyesight",,4,5,5,9
171,TAKEN,64,Betty Houstan,89,40,34,4,14,22,63,2,10,14,70,83,57,29,66,74,72,0,0,0,57,67,28,28,0,Right,Right,Girl,,,,,61,32,4,70,70,P,9,2,1,3,20,,-5,3,2,208,25,20.4,-42,2,21,83,70.3,56.2,-50,2,25,77,72.4,57.9,-48,2,24,93,66.7,53.3,"Good hitter and good pitcher but awful defender, not fast either",,8,4,9,1
171,TAKEN,114,Bobby Bulgrien,89,40,34,4,14,22,63,2,10,14,70,83,57,29,66,74,72,0,0,0,0,57,67,28,0,Right,Right,Boy,,,,,61,32,4,70,70,P,9,2,1,3,20,,-5,3,2,208,25,20.4,-42,2,21,83,70.3,56.2,-50,2,25,77,72.4,57.9,-48,2,24,93,66.7,53.3,"Good hitter and good pitcher but awful defender, not fast either",,8,4,9,1
173,TAKEN,169,Erin Harris,57,41,58,5,80,27,5,2,30,5,70,49,98,85,68,79,0,81,0,58,0,0,0,62,0,Left,Left,Girl,,,,,51,46,47,74,74,P,33,54,55,25,72,,-61,3,21,51,82,65.4,-44,2,22,75,73.1,58.5,-55,2,28,45,83.9,67.1,24,2,0,279,0.0,0.0,"Competent hitter with okay fielding and good pitching, poor attention",,5,6,7,2
174,TAKEN,122,Dominique Lowe,40,72,68,6,56,68,88,2,60,1,83,32,96,70,44,22,78,88,88,76,0,0,39,0,0,Left,Left,Boy,,,,,38,60,50,59,59,OF,68,43,39,35,54,,-46,3,16,91,67,53.9,-20,2,10,145,48.0,38.4,2,2,0,279,0.0,0.0,-54,2,27,67,76.0,60.8,"Competent fielder, good relief pitcher, can occasionally get a good hit",,6,7,5,7
175,TAKEN,72,Gail Weinmann,40,72,68,6,56,68,88,2,60,1,73,32,96,70,44,22,78,88,76,0,0,39,0,0,0,Left,Left,Girl,,,,,38,60,50,59,59,OF,68,43,39,35,54,,-46,3,16,91,67,53.9,-20,2,10,145,48.0,38.4,2,2,0,279,0.0,0.0,-54,2,27,67,76.0,60.8,"Competent fielder, good relief pitcher, can occasionally get a good hit",,6,7,5,7
176,TAKEN,228,Perry Marx,88,23,37,4,52,52,41,2,40,31,48,81,2,48,100,8,10,0,0,45,32,90,90,50,0,Right,Right,Boy,,,,,49,32,13,43,50,P / 2B,11,15,14,9,45,,-24,3,8,156,44,35.3,-76,2,38,15,94.6,75.7,16,2,0,279,0.0,0.0,14,2,0,279,0.0,0.0,"Very budget power hitter, mostly salvaged by a decent arm, mediocre relief pitcher",,7,4,6,4
